Epoch 1/100, Train Loss: 0.6739, Train Dice: 0.6476, Train IoU: 0.5222, Val Loss: 0.5518, Val Dice: 0.6215, Val IoU: 0.4937, 
Epoch 2/100, Train Loss: 0.5067, Train Dice: 0.7055, Train IoU: 0.5754, Val Loss: 0.4235, Val Dice: 0.7411, Val IoU: 0.6151, 
Epoch 3/100, Train Loss: 0.4820, Train Dice: 0.7161, Train IoU: 0.5886, Val Loss: 0.4168, Val Dice: 0.7656, Val IoU: 0.6439, 
Epoch 4/100, Train Loss: 0.4477, Train Dice: 0.7265, Train IoU: 0.6026, Val Loss: 0.4375, Val Dice: 0.7572, Val IoU: 0.6357, 
Epoch 5/100, Train Loss: 0.4514, Train Dice: 0.7308, Train IoU: 0.6102, Val Loss: 0.3639, Val Dice: 0.7782, Val IoU: 0.6604, 
Epoch 6/100, Train Loss: 0.4481, Train Dice: 0.7238, Train IoU: 0.5972, Val Loss: 0.4119, Val Dice: 0.7653, Val IoU: 0.6427, 
Epoch 7/100, Train Loss: 0.4339, Train Dice: 0.7327, Train IoU: 0.6109, Val Loss: 0.3663, Val Dice: 0.7703, Val IoU: 0.6533, 
Epoch 8/100, Train Loss: 0.4229, Train Dice: 0.7485, Train IoU: 0.6273, Val Loss: 0.4568, Val Dice: 0.7514, Val IoU: 0.6258, 
Epoch 9/100, Train Loss: 0.3997, Train Dice: 0.7638, Train IoU: 0.6478, Val Loss: 0.3965, Val Dice: 0.7667, Val IoU: 0.6487, 
Epoch 10/100, Train Loss: 0.3878, Train Dice: 0.7729, Train IoU: 0.6559, Val Loss: 0.3216, Val Dice: 0.7996, Val IoU: 0.6884, 
Epoch 11/100, Train Loss: 0.3822, Train Dice: 0.7703, Train IoU: 0.6552, Val Loss: 0.3148, Val Dice: 0.8086, Val IoU: 0.7001, 
Epoch 12/100, Train Loss: 0.3687, Train Dice: 0.7874, Train IoU: 0.6726, Val Loss: 0.3004, Val Dice: 0.8160, Val IoU: 0.7081, 
Epoch 13/100, Train Loss: 0.3489, Train Dice: 0.8014, Train IoU: 0.6907, Val Loss: 0.3285, Val Dice: 0.7960, Val IoU: 0.6830, 
Epoch 14/100, Train Loss: 0.3456, Train Dice: 0.8005, Train IoU: 0.6895, Val Loss: 0.2913, Val Dice: 0.8191, Val IoU: 0.7139, 
Epoch 15/100, Train Loss: 0.3503, Train Dice: 0.7943, Train IoU: 0.6827, Val Loss: 0.3186, Val Dice: 0.8044, Val IoU: 0.6932, 
Epoch 16/100, Train Loss: 0.3326, Train Dice: 0.8083, Train IoU: 0.6993, Val Loss: 0.2800, Val Dice: 0.8270, Val IoU: 0.7230, 
Epoch 17/100, Train Loss: 0.3260, Train Dice: 0.8081, Train IoU: 0.6999, Val Loss: 0.2875, Val Dice: 0.8206, Val IoU: 0.7133, 
Epoch 18/100, Train Loss: 0.3425, Train Dice: 0.7980, Train IoU: 0.6869, Val Loss: 0.3559, Val Dice: 0.7670, Val IoU: 0.6519, 
