------------------------------------------------------------------------------------land dtaset
Epoch 1/100, Train Loss: 1.3646, Train Dice: 0.1581, Train IoU: 0.1131, Val Loss: 1.1441, Val Dice: 0.1464, Val IoU: 0.1164, 
Epoch 2/100, Train Loss: 1.2191, Train Dice: 0.1611, Train IoU: 0.1182, Val Loss: 1.1376, Val Dice: 0.1469, Val IoU: 0.1166, 
Epoch 3/100, Train Loss: 1.2013, Train Dice: 0.1475, Train IoU: 0.1130, Val Loss: 1.1184, Val Dice: 0.1687, Val IoU: 0.1281, 
Epoch 4/100, Train Loss: 1.1829, Train Dice: 0.1703, Train IoU: 0.1247, Val Loss: 1.1434, Val Dice: 0.1470, Val IoU: 0.1167, 
Epoch 5/100, Train Loss: 1.1692, Train Dice: 0.1659, Train IoU: 0.1243, Val Loss: 1.1559, Val Dice: 0.1543, Val IoU: 0.1202, 
Epoch 6/100, Train Loss: 1.1698, Train Dice: 0.1738, Train IoU: 0.1228, Val Loss: 1.1328, Val Dice: 0.1541, Val IoU: 0.1205, 
---------------------------------------------------------------------- with 4 deep layers
Epoch 1/200, Train Loss: 0.6757, Train Dice: 0.7316, Train IoU: 0.6051, Val Loss: 0.6583, Val Dice: 0.4581, Val IoU: 0.3654, 
Epoch 2/200, Train Loss: 0.5105, Train Dice: 0.7807, Train IoU: 0.6623, Val Loss: 1.1707, Val Dice: 0.3200, Val IoU: 0.2385, 
Epoch 3/200, Train Loss: 0.5704, Train Dice: 0.7529, Train IoU: 0.6304, Val Loss: 0.3764, Val Dice: 0.5510, Val IoU: 0.4746, 
Epoch 4/200, Train Loss: 0.4172, Train Dice: 0.8112, Train IoU: 0.7012, Val Loss: 0.3714, Val Dice: 0.5782, Val IoU: 0.4826, 
Epoch 5/200, Train Loss: 0.4203, Train Dice: 0.8081, Train IoU: 0.7004, Val Loss: 0.3150, Val Dice: 0.6221, Val IoU: 0.5190, 
Epoch 6/200, Train Loss: 0.3964, Train Dice: 0.8124, Train IoU: 0.7040, Val Loss: 0.4223, Val Dice: 0.5614, Val IoU: 0.4642, 
Epoch 7/200, Train Loss: 0.3831, Train Dice: 0.8284, Train IoU: 0.7230, Val Loss: 0.4401, Val Dice: 0.5666, Val IoU: 0.4569, 
Epoch 8/200, Train Loss: 0.3755, Train Dice: 0.8233, Train IoU: 0.7202, Val Loss: 0.2917, Val Dice: 0.6277, Val IoU: 0.5367, 
Epoch 9/200, Train Loss: 0.3618, Train Dice: 0.8362, Train IoU: 0.7378, Val Loss: 0.3101, Val Dice: 0.6273, Val IoU: 0.5328,
----------------------------------------------------------------------------------------------------------------- cdsnew data
 Epoch 1/200, Train Loss: 0.6823, Train Dice: 0.7580, Train IoU: 0.6372, Val Loss: 0.6077, Val Dice: 0.5116, Val IoU: 0.4210, 
 Epoch 2/200, Train Loss: 0.5224, Train Dice: 0.7723, Train IoU: 0.6535, Val Loss: 0.3897, Val Dice: 0.6023, Val IoU: 0.4928, 
 Epoch 3/200, Train Loss: 0.4501, Train Dice: 0.8032, Train IoU: 0.6914, Val Loss: 0.4277, Val Dice: 0.5633, Val IoU: 0.4743, 
 Epoch 4/200, Train Loss: 0.4166, Train Dice: 0.8043, Train IoU: 0.6953, Val Loss: 0.3231, Val Dice: 0.6144, Val IoU: 0.5180, 
 Epoch 5/200, Train Loss: 0.4062, Train Dice: 0.8095, Train IoU: 0.7028, Val Loss: 0.3674, Val Dice: 0.5923, Val IoU: 0.4932, 
 Epoch 6/200, Train Loss: 0.3859, Train Dice: 0.8221, Train IoU: 0.7168, Val Loss: 0.3212, Val Dice: 0.6200, Val IoU: 0.5216, 
 Epoch 7/200, Train Loss: 0.3790, Train Dice: 0.8211, Train IoU: 0.7183, Val Loss: 0.3046, Val Dice: 0.6277, Val IoU: 0.5300, 
 Epoch 8/200, Train Loss: 0.3588, Train Dice: 0.8310, Train IoU: 0.7288, Val Loss: 0.3303, Val Dice: 0.6130, Val IoU: 0.5187, 
 Epoch 9/200, Train Loss: 0.3443, Train Dice: 0.8364, Train IoU: 0.7361, Val Loss: 0.3282, Val Dice: 0.6357, Val IoU: 0.5220, 
 Epoch 10/200, Train Loss: 0.3340, Train Dice: 0.8415, Train IoU: 0.7420, Val Loss: 0.3159, Val Dice: 0.6528, Val IoU: 0.5449, 
 Epoch 11/200, Train Loss: 0.3487, Train Dice: 0.8319, Train IoU: 0.7303, Val Loss: 0.4532, Val Dice: 0.5929, Val IoU: 0.4879, 
 Epoch 12/200, Train Loss: 0.3288, Train Dice: 0.8445, Train IoU: 0.7456, Val Loss: 0.2643, Val Dice: 0.6771, Val IoU: 0.5652, 
 Epoch 13/200, Train Loss: 0.3083, Train Dice: 0.8574, Train IoU: 0.7621, Val Loss: 0.2713, Val Dice: 0.6765, Val IoU: 0.5636, 
 Epoch 14/200, Train Loss: 0.3124, Train Dice: 0.8494, Train IoU: 0.7558, Val Loss: 0.2879, Val Dice: 0.6702, Val IoU: 0.5554, 
 Epoch 15/200, Train Loss: 0.3467, Train Dice: 0.8344, Train IoU: 0.7336, Val Loss: 0.2657, Val Dice: 0.6855, Val IoU: 0.5717, 
 Epoch 16/200, Train Loss: 0.3302, Train Dice: 0.8469, Train IoU: 0.7512, Val Loss: 0.2822, Val Dice: 0.6746, Val IoU: 0.5592, 
 Epoch 17/200, Train Loss: 0.3040, Train Dice: 0.8520, Train IoU: 0.7571, Val Loss: 0.2500, Val Dice: 0.6982, Val IoU: 0.5844, 
 Epoch 18/200, Train Loss: 0.3006, Train Dice: 0.8648, Train IoU: 0.7750, Val Loss: 0.2433, Val Dice: 0.7062, Val IoU: 0.5921, 
 Epoch 19/200, Train Loss: 0.2866, Train Dice: 0.8618, Train IoU: 0.7710, Val Loss: 0.2464, Val Dice: 0.6960, Val IoU: 0.5837, 
 Epoch 20/200, Train Loss: 0.2805, Train Dice: 0.8668, Train IoU: 0.7767, Val Loss: 0.2442, Val Dice: 0.7042, Val IoU: 0.5900, 
 Epoch 21/200, Train Loss: 0.2849, Train Dice: 0.8652, Train IoU: 0.7739, Val Loss: 0.2476, Val Dice: 0.6970, Val IoU: 0.5813, 
 Epoch 22/200, Train Loss: 0.2855, Train Dice: 0.8635, Train IoU: 0.7725, Val Loss: 0.2375, Val Dice: 0.7080, Val IoU: 0.5940, 
 Epoch 23/200, Train Loss: 0.2807, Train Dice: 0.8653, Train IoU: 0.7750, Val Loss: 0.2534, Val Dice: 0.6853, Val IoU: 0.5729, 
 Epoch 24/200, Train Loss: 0.2716, Train Dice: 0.8683, Train IoU: 0.7800, Val Loss: 0.2308, Val Dice: 0.7127, Val IoU: 0.5985, 
 Epoch 25/200, Train Loss: 0.2699, Train Dice: 0.8681, Train IoU: 0.7801, Val Loss: 0.2281, Val Dice: 0.7094, Val IoU: 0.5960, 
